,Vocab,Word
618,fik,2493
619,mæle,7503
620,mindste,7242
621,mussavner,7432
622,tag,11224
623,fattigst,2424
624,spurveunge,10343
625,rede,8596
626,fuglsavner,3262
627,ly,6643
628,skjul,9544
629,heller,4290
630,fristed,3146
631,lede,6316
632,lystig,6742
633,hanen,4156
634,oprundet,8085
635,kærligheds,6148
636,asylet,312
637,fundet,3288
638,titte,11459
639,hinanden,4478
640,favre,2445
641,blomster,785
642,muntre,7417
643,kalde,5351
644,hverandre,4727
645,deres,1573
646,opslå,8091
647,sneglen,10024
648,ryg,8859
649,vandre,12232
650,skaber,9408
651,orm,8129
652,føder,3411
653,fugl,3236
654,markens,7026
655,lilje,6452
656,klæder,5632
657,menneskenes,7127
658,allermest,154
659,ånder,13063
660,øjet,13222
661,græder,3895
662,søn,11176
663,selv,9200
664,barn,390
665,krybbestrå,5931
666,hans,4162
667,vugge,12732
668,foruden,2972
669,gænge,4074
670,himmeriges,4475
671,småog,9989
672,paradisets,8205
673,enge,2173
674,børnevennen,1332
675,bærer,1255
676,armen,277
677,storm,10609
678,hav,4195
679,betvang,605
680,vandred,12233
681,børnene,1331
682,leged,6334
683,barmen,386
684,velsigned,12365
685,paradiset,8204
686,evindelig,2281
687,lovpriset,6569
688,skød,9780
689,luft,6586
690,bølge,1301
691,blusser,847
692,brand,977
693,glød,3728
694,hvilken,4760
695,salig,9007
696,tyst,11829
697,medens,7062
698,lander,6242
699,kyst,6073
700,ånde,13052
701,fulde,3269
702,drag,1722
703,morgnen,7356
704,sød,11132
705,fryder,3197
706,trods,11598
707,synd,11025
708,død,1963
709,føle,3435
710,mørkhed,7570
711,svinder,10947
712,sjælevé,9392
713,blot,829
714,trygt,11659
715,vilje,12507
716,tør,11929
717,skære,9757
718,navne,7636
719,sjæls,9396
720,moder,7280
721,søster,11205
722,elskte,2114
723,kærlighed,6139
724,lysvæld,6750
725,bag,344
726,did,1628
727,hvorfra,4782
728,kommer,5728
729,morgnens,7357
730,vind,12531
731,ånded,13053
732,milde,7213
733,drage,1724
734,ad,15
735,natmørkt,7598
736,ikkun,5061
737,stævne,10818
738,imod,5090
739,grav,3797
740,skærmer,9764
741,river,8741
742,garn,3517
743,ny,7796
744,fly,2652
745,sejersjubel,9170
746,stille,10508
747,drejer,1737
748,land,6235
749,solenvort,10077
750,landskab,6261
751,farver,2398
752,gløddet,3729
753,dybeste,1887
754,grønt,3941
755,himmelske,4467
756,blåkaldt,862
757,frem,3082
758,vågner,12785
759,skabning,9414
760,markennu,7025
761,letter,6371
762,gråspurv,3888
763,stærnu,10817
764,åbner,13028
765,blomst,782
766,farvernes,2399
767,spilnu,10271
768,grønnes,3936
769,grålige,3885
770,træer,11686
771,rammer,8549
772,dagning,1437
773,pudeog,8463
774,vækker,12829
775,menneskebarnlys,7114
776,kalder,5353
777,løser,6916
778,friaf,3115
779,drømmenes,1806
780,filtrede,2500
781,solenså,10076
782,serat,9245
783,dagog,1439
784,blir,755
785,sker,9482
786,klare,5554
787,nætters,7902
788,stjerne,10530
789,galaksens,3479
790,strømmer,10731
791,pupil,8474
792,aldrig,124
793,øjenlågets,13217
794,skygge,9692
795,søvn,11209
796,tændes,11893
797,purpur,8478
798,byer,1184
799,jorden,5250
800,langsomt,6280
801,øst,13271
802,belyst,530
803,bli,726
804,’,13312
805,r,8533
806,bølger,1313
807,solens,10075
808,ubevægelige,11951
809,ild,5063
810,vækkes,12830
811,fugleskarer,3253
812,klipper,5590
813,sover,10227
814,morgenstjernen,7351
815,svirper,10958
816,vand,12219
817,søvnig,11213
818,hud,4648
819,vågned,12781
820,før,3449
821,én,13175
822,stilhed,10502
823,begynder,488
824,dagenfør,1418
825,telefoners,11308
826,kalden,5352
827,bilers,636
828,jagen,5196
829,middags,7176
830,eller,2091
831,aftenglød,61
832,førend,3452
833,måne,7479
834,først,3456
835,slår,9889
836,fornyer,2879
837,svæver,10984
838,skinneren,9530
839,større,10831
840,helt,4301
841,forsvinder,2933
842,smerten,9929
843,dør,1998
844,klem,5571
845,ung,12104
846,øjeblik,13211
847,daggryet,1429
848,lister,6480
849,himlenspejles,4438
850,tusind,11769
851,refl,8605
852,ekser,2082
853,vandløft,12228
854,es,2244
855,natsalte,7601
856,tårerbrister,11869
857,østvendte,13284
858,strandlægger,10648
859,kommende,5726
860,favnat,2431
861,leve,6378
862,mørket,7563
863,dybestkroge,1888
864,stjerneskær,10554
865,indstår,5131
866,endnu,2146
867,vågnerhvisker,12786
868,tusmørkesindblidt,11777
869,regnen,8616
870,syngende,11040
871,rønbereder,8945
872,sindet,9331
873,bøn,1319
874,skænker,9753
875,lidt,6405
876,begyndersmå,491
877,katastrofer,5436
878,morgenbordsplanplaner,7326
879,væltes,12851
880,stemmer,10461
881,kaldertid,5357
882,deadline,1523
883,blæst,882
884,orkanintet,8128
885,småt,9992
886,medog,7069
887,intet,5156
888,tungt,11756
889,giv,3606
890,modtage,7304
891,hverdagens,4730
892,nådeleve,7846
893,frimodigt,3137
894,standkende,10408
895,færdes,3378
896,lysetsprede,6711
897,kangenfi,5386
898,nde,7646
899,ervelsignet,2242
900,beåndet,623
901,vælder,12838
902,jager,5197
903,bort,957
904,gråt,3889
905,sort,10214
906,blomsten,783
907,vugger,12740
908,bladet,696
909,igen,5043
910,byen,1182
911,spejler,10248
912,vinduesglas,12547
913,leger,6338
914,skyggespil,9704
915,gaden,3472
916,kaster,5431
917,torv,11533
918,plads,8304
919,stuen,10745
920,luner,6627
921,grå,3876
922,lokker,6545
923,derud,1597
924,trykker,11662
925,trænger,11706
926,løsner,6918
927,smertens,9931
928,stramme,10632
929,glemme,3661
930,gribe,3826
931,vennens,12400
932,læger,6796
933,såret,11095
934,lindrer,6470
935,savnet,9129
936,kommertil,5734
937,overrumplet,8172
938,fatter,2416
939,forladt,2840
940,lyser,6705
941,aleneste,130
942,himmerig,4471
943,skænket,9754
944,faderlig,2299
945,syndens,11028
946,våde,12769
947,kommen,5725
948,mennesker,7128
949,vel,12352
950,glædes,3715
951,yndest,12969
952,æren,13159
953,tilhøre,11410
954,ting,11449
955,magt,6951
956,agt,100
957,frygte,3207
958,krist,5868
959,lam,6230
960,skyld,9708
961,bar,379
962,skam,9442
963,opstod,8097
964,købte,6179
965,dyre,1906
966,blod,764
967,salighed,9009
968,est,2249
969,alene,126
970,helligånd,4295
971,trøstermand,11724
972,sandheden,9078
973,hjælp,4590
974,blive,759
975,nådens,7850
976,standog,10410
977,beskærm,562
978,djævelens,1685
979,falske,2343
980,list,6477
981,tro,11595
982,kristog,5879
983,salige,9008
984,amen,199
985,fryde,3189
986,kristen,5871
987,mand,6982
988,mandog,6996
989,springe,10317
990,ja,5192
991,trindt,11585
992,landmed,6253
993,kvæde,6039
994,herligt,4373
995,underværk,12093
996,betalt,590
997,domme,1703
998,djævlens,1690
999,fængsel,3371
1000,sat,9118
1001,fordømt,2784
1002,knuged,5680
1003,megen,7075
1004,angst,240
1005,altid,184
1006,dybere,1885
